stadiums,capacity,region,country,city,original_stadium_name,location,lat,lon
Hangzhou Olympic Sports Expo Centre Stadium,80000,East Asia,China,Hangzhou,Hangzhou Olympic Sports Expo Centre Stadium,"[30.2317101, 120.2254884]",30.2317101,120.2254884
AT&T Stadium,80000,North America,United States,Arlington - Texas,AT&T Stadium,"[32.7478502, -97.0928337]",32.7478502,-97.0928337
Stade des Martyrs,80000,Africa,DR Congo,Kinshasa,Stade des Martyrs,"[-5.9280631, 22.309603]",-5.9280631,22.309603
Beijing National Stadium,80000,East Asia,China,Beijing,Beijing National Stadium,"[40.0160281, 116.3713841]",40.0160281,116.3713841
Maracanã,78838,South America,Brazil,Rio de Janeiro - Rio de Janeiro,Maracanã,"[-22.9121619, -43.2311861]",-22.9121619,-43.2311861
Los Angeles Memorial Coliseum,78467,North America,United States,Los Angeles - California,Los Angeles Memorial Coliseum,"[34.0139159, -118.2877996]",34.0139159,-118.2877996
Azadi Stadium,78116,West Asia,Iran,Tehran,Azadi Stadium,"[35.7244962, 51.2755487]",35.7244962,51.2755487
Stadion Utama Gelora Bung Karno,77193,Southeast Asia,Indonesia,Jakarta,Stadion Utama Gelora Bung Karno,"[-6.218536, 106.8026353]",-6.218536,106.8026353
Caesar's Superdome,76468,North America,United States,New Orleans - Louisiana,Caesar's Superdome,"[29.9759983, -90.0782127]",29.9759983,-90.0782127
Arrowhead Stadium,76412,North America,United States,Kansas City - Missouri,Arrowhead Stadium,"[39.0489357, -94.4839993]",39.0489357,-94.4839993
Empower Field,76125,North America,United States,Denver,Empower Field,"[39.743952, -105.0192228]",39.743952,-105.0192228
Atatürk Olimpiyat Stadyumu,76092,Europe,Turkey,Istanbul,Atatürk Olimpiyat Stadyumu,"[41.0744732, 28.7656611]",41.0744732,28.7656611
Old Trafford,76000,Europe,England,Manchester,Old Trafford,"[53.4631095, -2.2913865]",53.4631095,-2.2913865
Allianz Arena,75024,Europe,Germany,Munich,Allianz Arena,"[48.2187901, 11.6236227]",48.2187901,11.6236227
Naghsh-e-Jahan Stadium,75000,West Asia,Iran,Isfahan,Naghsh-e-Jahan Stadium,"[32.7424558, 51.686181]",32.7424558,51.686181
Bank of America Stadium,74867,North America,United States,Charlotte - North Carolina,Bank of America Stadium,"[35.225774, -80.8528276]",35.225774,-80.8528276
Principality Stadium,74500,Europe,Wales,Cardiff,Principality Stadium,"[51.4782484, -3.1826256]",51.4782484,-3.1826256
Olympiastadion,74475,Europe,Germany,Berlin,Olympiastadion,"[52.5145846, 13.2398144]",52.5145846,13.2398144
Cairo International Stadium,74100,Africa,Egypt,Cairo,Cairo International Stadium,"[30.0690313, 31.3122096]",30.0690313,31.3122096
FirstEnergy Stadium,73200,North America,United States,Cleveland,FirstEnergy Stadium,"[41.5060559, -81.6997118]",41.5060559,-81.6997118
Estádio Nacional Mané Garrincha,72788,South America,Brazil,Brasília - Distrito Federal,Estádio Nacional Mané Garrincha,"[-15.7837498, -47.8990287]",-15.7837498,-47.8990287
Stadio Olimpico,72698,Europe,Italy,Rome - Lazio,Stadio Olimpico,"[41.9339423, 12.4547705]",41.9339423,12.4547705
Nissan Stadium,72327,East Asia,Japan,Yokohama - Kanagawa,Nissan Stadium,"[35.5099882, 139.6063825]",35.5099882,139.6063825
NRG Stadium,72220,North America,United States,Houston - Texas,NRG Stadium,"[29.6848581, -95.4108015]",29.6848581,-95.4108015
Shanghai Stadium,72000,East Asia,China,Shanghai,Shanghai Stadium,"[31.1833432, 121.4373709]",31.1833432,121.4373709
